text,video_path,num_frames,width,height,masks_path,videoid,box_path
A person in a glittering gold outfit moves dynamically in a dimly-lit room washed with purple and red lights.,./videos/4722505.mp4,1045,568,1080,./masks/4722505,4722505,./boxs/4722505
"A person stands confidently with their hands slightly extended against a plain white background, dressed in a dark button-up shirt.",./videos/6689099.mp4,593,606,1080,./masks/6689099,6689099,./boxs/6689099
"Two individuals recline on a rooftop overlooking a street with parked cars, sharing a moment of relaxation above the city's hustle.",./videos/5934124.mp4,858,568,1080,./masks/5934124,5934124,./boxs/5934124
 a tennis player practicing his serving game,./videos/4902153.mp4,274,598,1080,./masks/4902153,4902153,./boxs/4902153
 parents watching their daughter walking in heels,./videos/4890366.mp4,189,1920,1080,./masks/4890366,4890366,./boxs/4890366
 young woman lying on bed holding notebook,./videos/6698408.mp4,517,1920,1012,./masks/6698408,6698408,./boxs/6698408
 instructor discussing body parts,./videos/6326797.mp4,534,606,1080,./masks/6326797,6326797,./boxs/6326797
 playing on piano in music studio,./videos/12336851.mp4,290,1920,1080,./masks/12336851,12336851,./boxs/12336851
 hands girl cute palms,./videos/4714779.mp4,409,1920,1012,./masks/4714779,4714779,./boxs/4714779
A person in a grey shirt flips through a notebook while working on a laptop with charts on the screen.,./videos/5742451.mp4,612,568,1080,./masks/5742451,5742451,./boxs/5742451
 young woman in park,./videos/11067423.mp4,192,606,1080,./masks/11067423,11067423,./boxs/11067423
A skyscraper under construction with scaffolding and a crane against a backdrop of a cloudy sky and mountainous landscape.,./videos/18874435.mp4,445,1920,1080,./masks/18874435,18874435,./boxs/18874435
 an elderly man teaching a boy doing fishing using a fishing rod,./videos/10413019.mp4,1108,1920,1012,./masks/10413019,10413019,./boxs/10413019
A person wearing dark gym shorts stands still in a gym with exercise equipment in the background.,./videos/6893303.mp4,400,1920,1080,./masks/6893303,6893303,./boxs/6893303
 two hikers discussing things in the middle of forest,./videos/5060174.mp4,460,1920,1080,./masks/5060174,5060174,./boxs/5060174
 aerial footage of red rock formations by the sea,./videos/10626877.mp4,479,1920,1080,./masks/10626877,10626877,./boxs/10626877
 men talking while wearing their judo uniform,./videos/6266889.mp4,445,1920,1080,./masks/6266889,6266889,./boxs/6266889
 landscape man love people,./videos/18077828.mp4,356,606,1080,./masks/18077828,18077828,./boxs/18077828
 a young woman in a denim jacket and tinted sunglasses posing during a photo session,./videos/15778370.mp4,436,1920,1080,./masks/15778370,15778370,./boxs/15778370
"A white-faced cow stares into the camera, while others graze in the background, on a fenced rural pasture with green grass.",./videos/13696230.mp4,266,1920,1080,./masks/13696230,13696230,./boxs/13696230
"A person in a white hoodie is holding a small, round object inside a vehicle.",./videos/6181462.mp4,100,1920,1080,./masks/6181462,6181462,./boxs/6181462
 dad and daughter talking to each other while sitting beside a christmas tree,./videos/6141414.mp4,772,1920,1012,./masks/6141414,6141414,./boxs/6141414
 drone footage of the castle in the island,./videos/3173214.mp4,620,1920,1080,./masks/3173214,3173214,./boxs/3173214
 man trying carrot slices with hummus,./videos/5091925.mp4,280,1920,1080,./masks/5091925,5091925,./boxs/5091925
"A blue telephone receiver hangs from a red wall, tagged with graffiti, while people walk by in the background.",./videos/17807248.mp4,313,1920,1080,./masks/17807248,17807248,./boxs/17807248
 drying under garments outdoors,./videos/4474050.mp4,342,1920,1080,./masks/4474050,4474050,./boxs/4474050
"A person in a gray dress holds a pink rose to their chest, lying amidst scattered stems against a pale orange background.",./videos/4522928.mp4,100,1920,1080,./masks/4522928,4522928,./boxs/4522928
 person having a video call,./videos/4841395.mp4,446,1920,1080,./masks/4841395,4841395,./boxs/4841395
 an elderly man holding a basketball ball,./videos/6292477.mp4,272,568,1080,./masks/6292477,6292477,./boxs/6292477
 a couple enjoying an outdoor adventure,./videos/3125155.mp4,506,1920,1080,./masks/3125155,3125155,./boxs/3125155
 women getting itch from a pumpkin plants,./videos/5526749.mp4,240,606,1080,./masks/5526749,5526749,./boxs/5526749
 profile of young blonde woman looking at sky,./videos/5419058.mp4,291,1920,1080,./masks/5419058,5419058,./boxs/5419058
A blue tramcar moves upward on a rail track surrounded by colorful autumn trees in a forested area.,./videos/14481105.mp4,310,1280,720,./masks/14481105,14481105,./boxs/14481105
 woman doing aerial yoga,./videos/5026639.mp4,274,1920,1080,./masks/5026639,5026639,./boxs/5026639
 doctor and patients on hospital hallway,./videos/6129933.mp4,126,1920,1080,./masks/6129933,6129933,./boxs/6129933
 a woman grooming a dog,./videos/6131724.mp4,392,1920,1080,./masks/6131724,6131724,./boxs/6131724
 man recording video beside a sculpture,./videos/6722922.mp4,545,1920,1080,./masks/6722922,6722922,./boxs/6722922
"In a cozy kitchen, a child is baking, surrounded by jars of ingredients and rustic decor, as flour dusts the air.",./videos/6210032.mp4,441,1920,1080,./masks/6210032,6210032,./boxs/6210032
 two kids standing for a photoshoot,./videos/5519023.mp4,240,606,1080,./masks/5519023,5519023,./boxs/5519023
 grandson helping grandmother in the kitchen,./videos/6248244.mp4,367,1920,1080,./masks/6248244,6248244,./boxs/6248244
 women sitting in paddy field and posing for camera,./videos/5120832.mp4,141,1920,1080,./masks/5120832,5120832,./boxs/5120832
 town on hill in winter,./videos/10516882.mp4,149,1920,1012,./masks/10516882,10516882,./boxs/10516882
 a person driving a motorbike on the highway,./videos/4309737.mp4,573,1920,1080,./masks/4309737,4309737,./boxs/4309737
"A woman sits on a wooden floor, gently untying the ribbon on a neatly wrapped present, surrounded by the soft glow of candles.",./videos/6074187.mp4,1292,1920,1012,./masks/6074187,6074187,./boxs/6074187
 a photographer reached the end of a trail,./videos/4323935.mp4,223,1920,1080,./masks/4323935,4323935,./boxs/4323935
 a woman preparing an appetizer platter,./videos/6005038.mp4,251,606,1080,./masks/6005038,6005038,./boxs/6005038
 flies eating rotten fruit,./videos/5243421.mp4,265,1920,1012,./masks/5243421,5243421,./boxs/5243421
 hand reaching for crisps,./videos/10973447.mp4,253,1920,1080,./masks/10973447,10973447,./boxs/10973447
 cooking shellfish mussel outdoors in big iron ketle,./videos/5155385.mp4,316,1920,1080,./masks/5155385,5155385,./boxs/5155385
 woman drinking orange juice,./videos/4540016.mp4,218,1920,1080,./masks/4540016,4540016,./boxs/4540016
 a woman sitting in the floor while posing in front of the camera,./videos/6835669.mp4,618,1920,1080,./masks/6835669,6835669,./boxs/6835669
 a couple walking with their bicycles in the countryside,./videos/10203249.mp4,406,568,1080,./masks/10203249,10203249,./boxs/10203249
 a serving of vegetable salad with white cheese,./videos/3196176.mp4,300,1920,1080,./masks/3196176,3196176,./boxs/3196176
 a woman massaging her face,./videos/6724778.mp4,261,606,1080,./masks/6724778,6724778,./boxs/6724778
"A person is holding a phone with the Shazam app open, attempting to identify a song playing in the background.",./videos/5075220.mp4,767,1920,1012,./masks/5075220,5075220,./boxs/5075220
"Two hikers with backpacks walk amid lush greenery in a forest, with one seemingly leading the way.",./videos/5061783.mp4,332,1920,1080,./masks/5061783,5061783,./boxs/5061783
"A busy street lined with tall buildings is bathed in the warm glow of a sunset, as cars and pedestrians move about.",./videos/15226746.mp4,793,606,1080,./masks/15226746,15226746,./boxs/15226746
 close up on yellow flower in hand,./videos/11438466.mp4,302,606,1080,./masks/11438466,11438466,./boxs/11438466
A sign reading 'Think Bigger Than PRISONS Think Better Than POLICE' is held aloft amidst a backdrop of a crowd and trees under a clear sky.,./videos/5286915.mp4,111,1920,1080,./masks/5286915,5286915,./boxs/5286915
"A person walks through the forest, holding an empty metal bucket, ready to collect something from nature.",./videos/4828089.mp4,485,568,1080,./masks/4828089,4828089,./boxs/4828089
 female hip hop dancer,./videos/10264587.mp4,989,1920,1012,./masks/10264587,10264587,./boxs/10264587
"White rice is being poured onto a dark-colored sauce on a wooden plate, with kitchen utensils and napkins in the background.",./videos/3783024.mp4,146,1920,1080,./masks/3783024,3783024,./boxs/3783024
 aerial view of a tropical sandy beach,./videos/15370336.mp4,361,1920,1080,./masks/15370336,15370336,./boxs/15370336
"A complex maze of glowing, reflective rectangular blocks stretches into the distance, creating an otherworldly, futuristic scene.",./videos/18419936.mp4,1000,1920,1080,./masks/18419936,18419936,./boxs/18419936
 woman sculpting an artwork,./videos/6755238.mp4,217,606,1080,./masks/6755238,6755238,./boxs/6755238
A person with tattoos gestures passionately by a microphone in a cozy room adorned with music amplifiers and soft curtain-filtered daylight.,./videos/4089570.mp4,1349,1920,1080,./masks/4089570,4089570,./boxs/4089570
 a drone footage of beach waves,./videos/5396154.mp4,629,1920,1080,./masks/5396154,5396154,./boxs/5396154
 fencer in en garde and attack position,./videos/6832160.mp4,290,1920,1012,./masks/6832160,6832160,./boxs/6832160
 woman dancing while tidying up the boutique,./videos/6114651.mp4,2473,568,1080,./masks/6114651,6114651,./boxs/6114651
"A person in a checkered shirt sits by a window, with the sunlight casting colorful shadows across the room filled with plants.",./videos/6923025.mp4,276,1920,1080,./masks/6923025,6923025,./boxs/6923025
"A serene waterfall flows behind a quaint green house nestled in the woods, surrounded by budding trees.",./videos/16993790.mp4,441,1920,1080,./masks/16993790,16993790,./boxs/16993790
A person kneading dough on a floured surface with a yellow mixing bowl and patterned cups in the background.,./videos/4122550.mp4,245,1920,1080,./masks/4122550,4122550,./boxs/4122550
 two women in a synchronized exercise movements,./videos/3195886.mp4,437,1920,1080,./masks/3195886,3195886,./boxs/3195886
 elderly man wearing his shoe,./videos/3904983.mp4,423,1920,1080,./masks/3904983,3904983,./boxs/3904983
 drone shot of the playground in the park,./videos/4308317.mp4,236,1920,1080,./masks/4308317,4308317,./boxs/4308317
 close up video clip of a paper lantern,./videos/5224952.mp4,285,1280,720,./masks/5224952,5224952,./boxs/5224952
 woman getting a massage,./videos/6629874.mp4,612,1920,1012,./masks/6629874,6629874,./boxs/6629874
 woman drinking hot coffee,./videos/6627952.mp4,362,1920,1012,./masks/6627952,6627952,./boxs/6627952
 a boy wearing a white shirt,./videos/6952184.mp4,348,1920,1080,./masks/6952184,6952184,./boxs/6952184
 a woman looking at the camera while on the seashore,./videos/5081263.mp4,620,1920,1012,./masks/5081263,5081263,./boxs/5081263
 a boy showing his present in a video call,./videos/5814316.mp4,403,1920,1080,./masks/5814316,5814316,./boxs/5814316
 man water walking sport,./videos/4114693.mp4,505,1920,1080,./masks/4114693,4114693,./boxs/4114693
 young cheerful female in amusement park,./videos/5767401.mp4,589,1920,1080,./masks/5767401,5767401,./boxs/5767401
 child playing with skateboard,./videos/5599772.mp4,240,606,1080,./masks/5599772,5599772,./boxs/5599772
 taxi s parked on the street,./videos/5220706.mp4,300,1920,1080,./masks/5220706,5220706,./boxs/5220706
 drone footage of railway tracks by the kwai river,./videos/10866909.mp4,356,1920,1080,./masks/10866909,10866909,./boxs/10866909
"In a room with brick walls and hardwood floors, someone vacuums a faded floral rug with a yellow vacuum cleaner.",./videos/4109337.mp4,632,568,1080,./masks/4109337,4109337,./boxs/4109337
 person posing while looking at camera,./videos/6784476.mp4,291,1920,1080,./masks/6784476,6784476,./boxs/6784476
"Two individuals appear to be in an embrace among lush green foliage, with sunlight filtering through the leaves.",./videos/4668198.mp4,462,1920,1080,./masks/4668198,4668198,./boxs/4668198
 vehicles on the road,./videos/5009673.mp4,96,1920,1080,./masks/5009673,5009673,./boxs/5009673
"Aerial view of a forested mountain with scattered houses and red foliage amidst evergreen trees, under a cloudy sky.",./videos/19091572.mp4,416,1920,1080,./masks/19091572,19091572,./boxs/19091572
 the interior design of a bedroom,./videos/5644278.mp4,259,1920,1080,./masks/5644278,5644278,./boxs/5644278
 a girl playing virtual reality fight game stand flight simulator,./videos/6500330.mp4,230,606,1080,./masks/6500330,6500330,./boxs/6500330
 a giraffe walking in the wilderness,./videos/5220277.mp4,537,1920,1080,./masks/5220277,5220277,./boxs/5220277
"A person adorned in a sequined dress is visible, with shimmering reflections casting multicolored lights around them.",./videos/3403368.mp4,501,568,1080,./masks/3403368,3403368,./boxs/3403368
A person in a black polo shirt holds a glass in a room with a neon sign reading 'NO SLEEP TILL YORK' on a tiled wall.,./videos/5051074.mp4,190,1920,1080,./masks/5051074,5051074,./boxs/5051074
 young woman eating noodles with chopsticks,./videos/6525358.mp4,66,1920,1080,./masks/6525358,6525358,./boxs/6525358
 a man walking inside a winery,./videos/5537822.mp4,428,568,1080,./masks/5537822,5537822,./boxs/5537822
 cave under the cliff,./videos/4342563.mp4,179,1920,1078,./masks/4342563,4342563,./boxs/4342563
 a man doing stretching while on the beach,./videos/5905048.mp4,295,1920,1080,./masks/5905048,5905048,./boxs/5905048
"A hairstylist in a brown apron dyes hair strands, in a salon adorned with bright lights, while a client dons a black salon cape.",./videos/3996897.mp4,391,568,1080,./masks/3996897,3996897,./boxs/3996897
"Two individuals stand close together in a sunlit urban setting, with greenery in the background and one wearing a plaid shirt and a gold chain.",./videos/4782053.mp4,1017,1920,1080,./masks/4782053,4782053,./boxs/4782053
 a man taking a photo of the city,./videos/5220460.mp4,300,1920,1080,./masks/5220460,5220460,./boxs/5220460
 college students studying outside their campus,./videos/6145420.mp4,240,1920,1080,./masks/6145420,6145420,./boxs/6145420
 video of two women in a happy relationship,./videos/4787635.mp4,180,1920,1080,./masks/4787635,4787635,./boxs/4787635
"A person with curly hair is adjusting their white ring while holding a circular object, reflecting their image in a bright, airy space.",./videos/6443764.mp4,627,1920,810,./masks/6443764,6443764,./boxs/6443764
 woman leaning on a bathtub,./videos/6720349.mp4,180,606,1080,./masks/6720349,6720349,./boxs/6720349
"Three individuals in suits are positioned outdoors, with one in a blue blazer prominently in the foreground, against a calm lakeside scene.",./videos/10548044.mp4,1102,1920,1012,./masks/10548044,10548044,./boxs/10548044
 kid showing candies from a basket,./videos/5607410.mp4,484,606,1080,./masks/5607410,5607410,./boxs/5607410
 man holding a cat,./videos/4520099.mp4,378,1920,1080,./masks/4520099,4520099,./boxs/4520099
"A person in a white top and denim sits casually against a vibrant, geometrically painted wall with a stained-glass window nearby.",./videos/12405640.mp4,472,606,1080,./masks/12405640,12405640,./boxs/12405640
 couple kissing each other,./videos/6675757.mp4,464,606,1080,./masks/6675757,6675757,./boxs/6675757
"A person reclines on a couch with a striped blanket over their legs, resting their head on a cushioned armrest.",./videos/6686957.mp4,420,1920,1080,./masks/6686957,6686957,./boxs/6686957
 police officer talking with stringer at crime scene,./videos/10481003.mp4,1106,1920,1012,./masks/10481003,10481003,./boxs/10481003
 person and a kid molding a cookie dough,./videos/5469424.mp4,493,1920,1080,./masks/5469424,5469424,./boxs/5469424
 woman filling glass with water from a glass bottle,./videos/6446191.mp4,523,606,1080,./masks/6446191,6446191,./boxs/6446191
 people walking out of a subway station,./videos/6145962.mp4,91,1920,1080,./masks/6145962,6145962,./boxs/6145962
 woman with butterfly net and flowers,./videos/10034403.mp4,317,568,1080,./masks/10034403,10034403,./boxs/10034403
 silhouette of a man dancing,./videos/5703693.mp4,276,1920,1080,./masks/5703693,5703693,./boxs/5703693
 couple pointing on map,./videos/4473065.mp4,374,1920,1080,./masks/4473065,4473065,./boxs/4473065
 a person using a touchscreen computer,./videos/4358810.mp4,297,606,1080,./masks/4358810,4358810,./boxs/4358810
 mother hugging her children,./videos/4512978.mp4,439,1920,1080,./masks/4512978,4512978,./boxs/4512978
 road and trees in winter,./videos/11019362.mp4,1859,1920,1080,./masks/11019362,11019362,./boxs/11019362
 woman busy browsing on her phone,./videos/4459102.mp4,324,1920,1080,./masks/4459102,4459102,./boxs/4459102
 people skiing on slope,./videos/11573649.mp4,168,1920,1080,./masks/11573649,11573649,./boxs/11573649
 a small flowering plant,./videos/1436813.mp4,750,1920,1080,./masks/1436813,1436813,./boxs/1436813
"Waves gently lap against a pristine beach, flanked by lush tropical jungle with swaying palms and dense foliage.",./videos/16275429.mp4,378,1920,1080,./masks/16275429,16275429,./boxs/16275429
